Code,Code Category
Code 1: City of Origin,Places
Code 2: Childhood,Time Period/Life era
Code 3: Freedom,Feeling
Code 4: Bicycling,Activity
Code 5: Parenting,Time Period/Life era
Code 6: Positive family relationships,Social identity
Code 7: Children,Types of people
Code 8: Happiness,Feeling
Code 9: Contentment,Feeling
Code 10: Pride,Feeling
Code 11: Different expectations,Social identity
Code 12: Societal expectations,Social progress/development
Code 13: Gender roles,Social progress/development
Code 14: Post-War America,Time Period/Life era
Code 15: Spouse,Types of people
Code 16: College,Places
Code 17: Social programs,Social progress/development
Code 18: Marriage,Time Period/Life era
Code 19: Gratitutde,Feeling
Code 20: Sewing,Activity
Code 21: Canning ,Activity
Code 22: Being Active,Character traits
Code 23: Fruit,Food
Code 24: Abundance,Feeling
Code 25: Aspirations,Social identity
Code 26: Travel ,Activity
Code 27: Adventurous spirit,Social identity
Code 28: Imparting wisdom,Character traits
Code 29: Change in social norms,Social progress/development
Code 30: Outdoors,Places
Code 31: Negative view of video games/tech,Technology
Code 32: Social Connections,Social identity
Code 33: Lived Experience,Social identity
Code 34: Teaching,Social identity
Code 35 Learning,Social identity
Code 36: Intuition,Feeling
Code 37: Work/Job,Social identity
Code 38: Friends,Types of people
Code 39: Covid,Time Period/Life era
Code 40: Positive thinking,Character traits
Code 41: Food,Food
Code 42: Worry,Feeling
Code 43: Politics,Social identity
Code 44: Acceptance/tolerance,Social progress/development
Code 45: Excitement,Feeling
Code 46: WW2,Time Period/Life era
Code 47: Intolerance,Social progress/development
Code 48: Racial Injustice,Social progress/development
Code 49: Cultural appreciation,Social progress/development
Code 50: Knitting,Activity
Code 51: Siblings,Types of people
Code 52: Gardening,Activity
Code 53: Fathers,Types of people
Code 54: The Depression,Time Period/Life era
Code 55: Hard times,Time Period/Life era
Code 56: Mothers,Types of people
Code 57: Religion,Social identity
Code 58: Home,Places
Code 59: Aging,Life event